Player,Champion,Times played
Clear,Gnar,8
Clear,KSante,8
Clear,Kennen,7
Clear,Renekton,5
Clear,Skarner,4
Clear,Rumble,4
Clear,Aatrox,2
Clear,Twisted Fate,1
Clear,Poppy,1
Clear,Aurora,1
Raptor,Vi,9
Raptor,Maokai,7
Raptor,Xin Zhao,6
Raptor,Zyra,6
Raptor,Brand,3
Raptor,Sejuani,3
Raptor,Viego,2
Raptor,Lee Sin,2
Raptor,Nidalee,1
Raptor,Shyvana,1
Raptor,Lillia,1
Clozer,Corki,11
Clozer,Taliyah,9
Clozer,Yone,7
Clozer,Tristana,5
Clozer,Ahri,3
Clozer,LeBlanc,2
Clozer,Lucian,2
Clozer,Azir,1
Clozer,Zeri,1
Hena,Zeri,12
Hena,Kaisa,5
Hena,Ashe,5
Hena,Varus,3
Hena,Jhin,3
Hena,Ziggs,3
Hena,Senna,3
Hena,Miss Fortune,3
Hena,Xayah,2
Hena,Jinx,1
Hena,Kalista,1
Duro,Rakan,10
Duro,Alistar,6
Duro,Rell,4
Duro,Nautilus,4
Duro,Leona,4
Duro,Ornn,1
Duro,Maokai,1
